individual_id,D2S1338_a1,D2S1338_a2,D3S1358_a1,D3S1358_a2,D5S818_a1,D5S818_a2,D7S820_a1,D7S820_a2,D8S1179_a1,D8S1179_a2,D13S317_a1,D13S317_a2,D16S539_a1,D16S539_a2,D18S51_a1,D18S51_a2,D19S433_a1,D19S433_a2,D21S11_a1,D21S11_a2,vWA_a1,vWA_a2,FGA_a1,FGA_a2,CSF1PO_a1,CSF1PO_a2,TPOX_a1,TPOX_a2,TH01_a1,TH01_a2
AF016,19.0,24.0,16.0,20.0,7.0,10.0,14.0,12.0,16.0,12.0,9.0,12.0,15.0,15.0,19.0,17.0,16.0,12.0,30.0,31.0,19.0,16.0,19.0,26.0,10.0,12.0,8.0,11.0,5.0,5.0
JUV017,26.0,31.0,19.0,19.0,9.0,9.0,11.0,6.0,11.0,16.0,12.0,12.0,12.0,15.0,21.0,17.0,12.0,12.0,35.0,34.0,19.0,19.0,19.0,19.0,11.0,11.0,10.0,12.0,6.0,10.0
JUV018,19.0,20.0,19.0,14.0,7.0,10.0,11.0,9.0,12.0,15.0,11.0,11.0,10.0,15.0,19.0,23.0,12.0,15.0,37.0,37.0,19.0,19.0,19.0,25.0,10.0,9.0,8.0,8.0,5.0,5.0
JUV019,22.0,31.0,19.0,19.0,13.0,9.0,11.0,12.0,14.0,16.0,12.0,14.0,9.0,13.0,17.0,22.0,14.0,12.0,30.0,34.0,19.0,19.0,20.0,22.0,10.0,12.0,12.0,12.0,11.0,8.0
JUV020,19.0,31.0,19.0,16.0,7.0,10.0,11.0,6.0,11.0,18.0,11.0,12.0,12.0,15.0,19.0,22.0,12.0,12.0,37.0,34.0,19.0,19.0,19.0,22.0,11.0,9.0,10.0,12.0,5.0,8.0
SB021,27.0,24.0,16.0,19.0,10.0,15.0,10.0,9.0,13.0,12.0,13.0,12.0,9.0,14.0,19.0,19.0,17.0,14.0,37.0,37.0,19.0,17.0,20.0,27.0,12.0,11.0,12.0,12.0,5.0,6.0
AF022,23.0,29.0,14.0,17.0,,,9.0,11.0,11.0,16.0,9.0,11.0,13.0,9.0,21.0,21.0,15.0,14.0,35.0,33.0,16.0,17.0,20.0,28.0,12.0,11.0,11.0,13.0,5.0,8.0
AF023,24.0,26.0,14.0,19.0,15.0,11.0,11.0,13.0,16.0,11.0,12.0,12.0,11.0,13.0,23.0,23.0,12.0,12.0,37.0,36.0,,,25.0,25.0,12.0,11.0,8.0,9.0,5.0,5.0
AF024,23.0,23.0,17.0,19.0,10.0,10.0,11.0,10.0,,,9.0,9.0,11.0,11.0,23.0,23.0,13.0,14.0,35.0,35.0,16.0,20.0,20.0,23.0,9.0,15.0,11.0,11.0,5.0,10.0
AF025,22.0,31.0,15.0,15.0,10.0,10.0,10.0,6.0,16.0,13.0,12.0,12.0,11.0,12.0,14.0,14.0,17.0,17.0,31.0,28.0,19.0,17.0,19.0,20.0,12.0,12.0,8.0,8.0,6.0,9.0
AF026,19.0,19.0,19.0,15.0,8.0,9.0,9.0,9.0,16.0,16.0,,,12.0,9.0,17.0,22.0,12.0,12.0,28.0,27.0,16.0,19.0,28.0,28.0,13.0,11.0,8.0,10.0,9.0,6.0
AF027,26.0,26.0,16.0,16.0,,,11.0,7.0,13.0,13.0,14.0,13.0,11.0,9.0,17.0,19.0,14.0,12.0,28.0,36.0,21.0,19.0,20.0,21.0,9.0,13.0,8.0,11.0,6.0,8.0
JUV028,23.0,26.0,14.0,14.0,14.0,15.0,11.0,13.0,,,9.0,14.0,10.0,10.0,,,15.0,12.0,33.0,28.0,16.0,16.0,28.0,21.0,11.0,12.0,13.0,11.0,8.0,11.0
JUV029,,,15.0,16.0,10.0,15.0,,,16.0,13.0,12.0,13.0,12.0,14.0,14.0,19.0,14.0,14.0,37.0,37.0,17.0,17.0,20.0,27.0,12.0,12.0,8.0,12.0,6.0,6.0
JUV030,23.0,29.0,16.0,15.0,9.0,12.0,10.0,10.0,,,13.0,9.0,9.0,11.0,19.0,19.0,12.0,12.0,27.0,36.0,19.0,16.0,21.0,19.0,9.0,13.0,8.0,11.0,6.0,8.0
JUV031,23.0,31.0,17.0,18.0,10.0,15.0,11.0,9.0,13.0,18.0,9.0,8.0,11.0,15.0,19.0,19.0,13.0,12.0,35.0,35.0,20.0,20.0,23.0,28.0,9.0,13.0,11.0,12.0,10.0,9.0
JUV032,,,19.0,19.0,10.0,10.0,11.0,10.0,13.0,13.0,9.0,12.0,11.0,9.0,,,13.0,14.0,27.0,28.0,16.0,17.0,28.0,27.0,9.0,11.0,11.0,12.0,5.0,5.0
SB033,22.0,20.0,14.0,18.0,10.0,13.0,6.0,9.0,14.0,16.0,10.0,12.0,14.0,12.0,,,16.0,12.0,36.0,32.0,20.0,19.0,30.0,21.0,,,11.0,11.0,11.0,11.0
SB034,30.0,23.0,16.0,18.0,,,9.0,9.0,12.0,12.0,8.0,8.0,15.0,11.0,19.0,20.0,12.0,12.0,36.0,28.0,18.0,20.0,28.0,24.0,12.0,9.0,13.0,8.0,,
AF035,26.0,26.0,15.0,15.0,9.0,8.0,11.0,9.0,10.0,18.0,14.0,14.0,15.0,9.0,19.0,21.0,15.0,12.0,36.0,28.0,16.0,19.0,26.0,25.0,9.0,13.0,8.0,8.0,11.0,11.0
AF036,31.0,31.0,18.0,17.0,7.0,10.0,9.0,9.0,16.0,13.0,8.0,9.0,12.0,9.0,22.0,19.0,12.0,12.0,36.0,30.0,19.0,19.0,21.0,28.0,13.0,12.0,12.0,12.0,10.0,10.0
AF037,,,18.0,19.0,7.0,15.0,,,11.0,11.0,10.0,13.0,9.0,13.0,22.0,19.0,12.0,12.0,34.0,37.0,19.0,16.0,26.0,25.0,12.0,9.0,12.0,12.0,6.0,6.0
AF038,26.0,31.0,14.0,14.0,13.0,7.0,11.0,11.0,11.0,15.0,11.0,12.0,9.0,13.0,23.0,23.0,15.0,12.0,,,14.0,17.0,24.0,27.0,12.0,11.0,13.0,13.0,7.0,7.0
AF039,21.0,21.0,18.0,15.0,,,11.0,9.0,18.0,11.0,12.0,14.0,11.0,11.0,19.0,17.0,12.0,12.0,37.0,28.0,16.0,14.0,,,13.0,11.0,13.0,8.0,10.0,10.0
JUV040,26.0,20.0,19.0,14.0,7.0,10.0,11.0,9.0,11.0,16.0,12.0,10.0,13.0,12.0,23.0,15.0,12.0,12.0,36.0,36.0,17.0,19.0,30.0,30.0,12.0,12.0,8.0,11.0,7.0,11.0
JUV041,31.0,20.0,14.0,14.0,13.0,10.0,,,15.0,14.0,12.0,10.0,13.0,12.0,23.0,12.0,15.0,12.0,36.0,36.0,17.0,19.0,24.0,21.0,12.0,12.0,13.0,11.0,7.0,11.0
SB042,30.0,31.0,19.0,18.0,7.0,7.0,13.0,10.0,16.0,16.0,9.0,9.0,12.0,11.0,15.0,19.0,13.0,13.0,28.0,36.0,17.0,19.0,19.0,19.0,11.0,11.0,11.0,9.0,9.0,10.0
SB043,19.0,19.0,16.0,14.0,9.0,15.0,7.0,10.0,,,12.0,8.0,10.0,12.0,13.0,18.0,12.0,12.0,,,19.0,19.0,28.0,20.0,9.0,9.0,11.0,12.0,5.0,11.0
SB044,19.0,25.0,18.0,18.0,12.0,15.0,9.0,11.0,11.0,17.0,12.0,13.0,11.0,12.0,19.0,21.0,12.0,12.0,28.0,28.0,20.0,16.0,29.0,21.0,9.0,12.0,11.0,11.0,8.0,10.0
AF045,22.0,31.0,20.0,18.0,8.0,13.0,6.0,6.0,12.0,13.0,14.0,13.0,13.0,11.0,18.0,19.0,12.0,12.0,36.0,34.0,18.0,19.0,24.0,28.0,13.0,11.0,8.0,11.0,10.0,6.0
AF046,26.0,26.0,18.0,14.0,13.0,15.0,7.0,8.0,18.0,11.0,13.0,12.0,13.0,13.0,19.0,19.0,12.0,13.0,28.0,31.0,21.0,16.0,27.0,21.0,12.0,12.0,13.0,11.0,6.0,5.0
AF047,21.0,24.0,16.0,19.0,10.0,9.0,10.0,11.0,11.0,11.0,8.0,13.0,12.0,11.0,22.0,22.0,13.0,17.0,28.0,28.0,16.0,14.0,28.0,28.0,9.0,9.0,11.0,12.0,8.0,8.0
AF048,19.0,21.0,20.0,20.0,7.0,15.0,11.0,12.0,,,12.0,12.0,9.0,9.0,18.0,21.0,12.0,15.0,37.0,28.0,19.0,18.0,28.0,20.0,12.0,12.0,13.0,11.0,8.0,9.0
AF049,26.0,26.0,14.0,19.0,13.0,13.0,8.0,11.0,,,9.0,12.0,15.0,9.0,23.0,19.0,17.0,16.0,34.0,34.0,20.0,17.0,21.0,21.0,13.0,12.0,12.0,11.0,10.0,5.0
AF050,25.0,19.0,,,10.0,13.0,9.0,10.0,,,9.0,8.0,12.0,12.0,19.0,19.0,12.0,17.0,32.0,31.0,14.0,17.0,22.0,22.0,11.0,11.0,11.0,11.0,10.0,10.0
JUV051,25.0,30.0,,,10.0,7.0,9.0,10.0,12.0,13.0,9.0,9.0,12.0,11.0,19.0,15.0,17.0,13.0,32.0,36.0,17.0,19.0,22.0,22.0,11.0,11.0,11.0,9.0,10.0,9.0
JUV052,,,14.0,15.0,13.0,12.0,7.0,9.0,18.0,10.0,13.0,13.0,9.0,9.0,19.0,17.0,12.0,17.0,31.0,30.0,16.0,19.0,19.0,19.0,12.0,9.0,13.0,11.0,6.0,10.0
JUV053,26.0,31.0,19.0,19.0,13.0,7.0,8.0,8.0,12.0,16.0,9.0,9.0,15.0,12.0,23.0,19.0,12.0,12.0,36.0,36.0,17.0,17.0,21.0,19.0,13.0,11.0,11.0,9.0,10.0,9.0
JUV054,26.0,30.0,18.0,18.0,13.0,7.0,8.0,10.0,,,13.0,9.0,13.0,11.0,19.0,15.0,12.0,12.0,28.0,36.0,21.0,19.0,19.0,19.0,9.0,11.0,11.0,11.0,6.0,9.0
SB055,26.0,23.0,20.0,16.0,,,6.0,11.0,18.0,15.0,13.0,13.0,9.0,9.0,19.0,19.0,17.0,17.0,,,19.0,16.0,27.0,23.0,12.0,9.0,11.0,11.0,8.0,5.0
AF056,28.0,31.0,15.0,15.0,7.0,7.0,10.0,10.0,12.0,12.0,12.0,12.0,15.0,9.0,21.0,19.0,12.0,15.0,35.0,37.0,15.0,15.0,27.0,25.0,10.0,9.0,8.0,12.0,6.0,6.0
AF057,22.0,22.0,14.0,17.0,7.0,15.0,8.0,10.0,,,12.0,10.0,10.0,12.0,20.0,20.0,12.0,15.0,31.0,28.0,19.0,20.0,27.0,27.0,9.0,11.0,8.0,11.0,10.0,10.0
AF058,27.0,30.0,19.0,15.0,10.0,7.0,14.0,13.0,14.0,16.0,12.0,12.0,9.0,9.0,15.0,22.0,16.0,15.0,28.0,28.0,16.0,17.0,19.0,28.0,11.0,11.0,11.0,11.0,,
AF059,31.0,24.0,19.0,19.0,,,6.0,11.0,12.0,17.0,14.0,13.0,13.0,9.0,13.0,19.0,12.0,15.0,30.0,37.0,19.0,19.0,20.0,28.0,14.0,11.0,11.0,12.0,5.0,8.0
AF060,23.0,21.0,16.0,14.0,7.0,7.0,10.0,10.0,,,10.0,12.0,11.0,9.0,19.0,15.0,14.0,14.0,28.0,28.0,19.0,19.0,19.0,30.0,9.0,9.0,13.0,8.0,5.0,5.0
AF061,23.0,20.0,18.0,18.0,11.0,15.0,11.0,10.0,12.0,15.0,12.0,12.0,9.0,14.0,19.0,15.0,12.0,12.0,36.0,36.0,19.0,14.0,23.0,24.0,9.0,10.0,12.0,8.0,8.0,6.0
JUV062,29.0,26.0,15.0,16.0,12.0,11.0,10.0,6.0,12.0,18.0,12.0,13.0,15.0,9.0,21.0,19.0,15.0,17.0,37.0,30.0,,,27.0,27.0,12.0,12.0,12.0,11.0,6.0,5.0
JUV063,26.0,26.0,16.0,16.0,7.0,11.0,10.0,11.0,18.0,18.0,12.0,14.0,11.0,9.0,15.0,19.0,14.0,17.0,28.0,28.0,19.0,19.0,19.0,27.0,9.0,9.0,13.0,11.0,,
