individual_id,D2S1338_a1_true,D2S1338_a2_true,D3S1358_a1_true,D3S1358_a2_true,D5S818_a1_true,D5S818_a2_true,D7S820_a1_true,D7S820_a2_true,D8S1179_a1_true,D8S1179_a2_true,D13S317_a1_true,D13S317_a2_true,D16S539_a1_true,D16S539_a2_true,D18S51_a1_true,D18S51_a2_true,D19S433_a1_true,D19S433_a2_true,D21S11_a1_true,D21S11_a2_true,vWA_a1_true,vWA_a2_true,FGA_a1_true,FGA_a2_true,CSF1PO_a1_true,CSF1PO_a2_true,TPOX_a1_true,TPOX_a2_true,TH01_a1_true,TH01_a2_true
SB012,25,25,19,16,7,7,11,10,16,12,9,8,10,12,19,19,17,12,31,36,17,19,28,28,9,14,11,8,7,11
AF013,24,23,18,15,7,7,6,7,11,16,9,11,14,11,20,14,12,12,28,29,16,14,19,24,9,11,11,11,5,10
AF014,26,19,19,19,7,9,11,11,11,12,11,12,12,10,19,21,12,12,35,37,19,19,19,24,11,10,8,10,5,6
AF015,22,23,14,19,12,13,11,10,11,14,12,13,11,9,17,19,14,13,30,37,19,16,19,20,10,9,8,9,5,11
AF016,19,24,16,20,7,10,14,12,16,12,9,12,15,12,19,17,16,12,30,31,19,16,19,26,10,12,8,11,8,5
JUV017,26,31,19,19,9,9,11,6,11,16,12,12,12,15,21,17,12,12,35,34,19,19,19,22,11,12,10,12,6,10
JUV018,19,20,19,14,7,10,11,9,12,15,11,11,10,15,19,23,12,15,37,37,19,19,19,25,10,9,8,8,5,5
JUV019,22,31,19,16,13,9,11,12,14,16,12,14,9,13,17,22,14,12,30,34,19,19,20,22,10,12,8,12,11,8
JUV020,19,31,19,16,7,10,11,6,11,18,11,12,12,15,19,22,12,12,37,34,19,19,19,22,11,9,10,12,5,8
SB021,27,24,16,19,10,15,10,9,13,12,13,12,9,14,19,19,17,14,28,37,19,17,20,27,12,11,12,12,5,6
AF022,23,29,14,17,14,15,9,11,11,16,9,11,13,9,15,21,15,14,35,33,16,17,20,28,12,11,11,13,5,8
AF023,24,26,14,19,15,11,11,13,16,11,12,12,11,13,23,23,12,12,37,36,15,20,28,25,12,11,8,9,10,5
AF024,23,23,17,19,10,10,11,10,12,13,9,9,11,11,23,19,13,14,27,35,16,20,20,23,9,15,11,11,5,10
AF025,22,31,15,15,7,10,10,6,16,13,12,12,11,12,14,14,17,17,31,28,19,17,19,20,12,12,8,8,6,9
AF026,19,20,19,15,12,9,6,9,16,16,13,11,12,9,17,22,12,12,28,27,16,19,23,28,13,11,8,10,9,6
AF027,26,23,17,16,9,15,11,7,17,13,14,13,11,9,17,19,14,12,28,36,21,19,20,21,9,13,8,11,6,8
JUV028,23,26,14,15,14,15,11,13,11,16,9,14,9,10,21,13,14,12,33,28,16,16,28,21,11,12,13,11,8,11
JUV029,31,27,15,16,10,15,6,10,16,13,12,13,12,14,14,19,17,14,28,37,17,17,20,27,12,12,8,12,6,6
JUV030,23,29,16,15,9,12,11,10,17,16,13,9,9,11,19,19,12,12,28,36,19,16,21,19,9,13,8,11,6,8
JUV031,23,31,17,18,10,15,11,9,13,18,9,8,11,15,19,19,13,12,35,35,20,20,23,28,9,13,11,12,10,9
JUV032,23,24,19,19,10,10,11,10,13,13,9,12,11,9,19,19,13,14,27,28,16,17,20,27,9,11,11,12,10,5
SB033,22,20,14,18,10,13,6,9,14,16,10,12,14,12,15,12,17,12,36,32,20,19,30,21,12,11,11,11,11,11
SB034,30,23,16,18,9,7,9,9,12,12,8,8,15,11,19,20,12,17,36,28,18,20,28,24,12,9,13,8,11,9
AF035,26,24,15,15,9,8,11,9,10,18,14,14,15,9,19,21,15,12,36,28,16,19,26,25,9,13,8,8,11,11
AF036,31,30,18,17,7,10,9,9,16,13,8,9,12,9,22,19,12,13,36,30,19,19,21,28,13,12,12,12,10,10
AF037,27,27,18,19,7,15,13,6,16,11,10,13,9,13,22,19,12,12,34,37,19,16,26,25,12,9,12,11,11,6
AF038,26,31,14,19,13,7,9,11,11,15,11,12,9,13,23,23,15,12,36,27,14,17,24,27,12,11,8,13,7,7
AF039,21,30,18,15,7,13,11,9,18,11,12,14,11,12,19,17,17,12,37,28,16,14,27,22,13,11,13,8,10,10
JUV040,26,20,19,14,7,10,11,9,11,16,12,10,13,12,23,15,15,12,36,36,17,19,27,30,12,12,8,11,7,11
JUV041,31,20,14,14,13,10,9,6,15,14,12,10,13,12,23,12,15,12,36,36,17,19,24,21,12,12,13,11,7,11
SB042,30,31,19,18,7,7,13,10,16,13,9,9,12,11,15,19,12,13,28,36,17,19,19,19,11,11,11,9,9,10
SB043,30,19,16,14,9,15,7,10,15,16,12,8,10,12,13,18,12,12,31,28,19,19,27,20,9,9,11,12,5,11
SB044,19,25,18,19,13,15,9,11,11,17,12,13,11,12,19,21,12,12,28,28,20,16,29,21,9,12,11,11,8,10
AF045,22,31,20,18,8,13,6,6,12,13,14,13,13,11,18,19,17,12,36,34,18,19,24,28,13,11,8,11,11,6
AF046,26,26,18,14,13,15,7,8,18,11,13,12,9,13,19,19,12,13,28,31,21,16,27,21,12,9,13,11,6,5
AF047,21,24,16,19,10,9,10,11,11,11,8,13,12,11,22,22,13,17,28,28,16,14,25,28,9,9,11,12,6,8
AF048,19,21,20,20,7,15,11,12,13,13,12,12,9,9,18,21,12,15,37,28,19,18,28,20,12,13,13,11,8,9
AF049,31,26,14,19,13,13,8,11,12,16,9,12,15,9,23,19,17,16,34,36,20,17,21,27,13,12,12,11,10,5
AF050,25,19,16,16,10,13,9,10,12,12,9,8,12,12,19,19,12,17,32,31,14,17,22,22,11,11,11,12,10,10
JUV051,25,30,16,19,10,7,9,10,12,13,9,9,12,11,19,15,17,13,32,36,17,19,22,19,11,11,11,9,10,9
JUV052,26,19,14,15,13,12,7,9,18,10,13,8,9,9,19,17,12,17,31,30,16,19,21,19,12,9,13,11,6,10
JUV053,26,31,19,19,13,7,8,13,12,16,9,9,15,12,23,19,16,12,36,36,17,17,21,19,13,11,11,9,10,9
JUV054,26,30,18,18,13,7,8,10,11,13,13,9,13,11,19,15,12,12,28,36,21,19,21,19,9,11,11,11,6,9
SB055,26,23,20,16,15,11,6,11,18,15,13,14,9,9,19,19,17,17,30,28,19,16,27,23,12,9,11,11,8,5
AF056,29,31,15,14,7,12,10,10,12,12,12,12,15,9,21,19,12,15,35,37,15,14,27,25,10,9,8,12,6,6
AF057,22,23,14,17,7,15,8,10,17,16,12,10,10,12,23,20,12,15,31,28,19,20,20,27,9,11,8,11,10,6
AF058,27,30,19,15,10,7,14,13,14,16,12,12,9,13,14,22,16,15,28,29,16,17,19,28,11,10,10,11,9,8
AF059,31,24,20,19,9,15,6,11,12,17,14,13,13,9,13,19,12,15,30,37,19,19,20,28,14,11,11,12,5,8
AF060,23,21,16,14,7,7,14,10,18,13,10,12,11,9,19,15,14,14,28,28,19,19,19,30,9,12,13,8,5,5
AF061,23,20,18,14,11,15,11,10,12,15,12,12,9,14,19,15,12,12,36,36,19,14,23,24,9,10,12,8,8,6
JUV062,29,26,15,16,12,11,10,6,12,18,12,13,15,9,21,19,15,17,37,30,15,16,27,27,10,12,12,11,6,5
JUV063,21,26,16,16,7,11,10,11,18,18,12,14,11,9,15,19,14,17,28,28,19,19,19,27,9,9,13,11,5,5
